canonical_table,canonical_field,primary_source,provider_field_or_json_path,normalization,known_at_rule,required,notes
games,season_type,nflverse schedules,game_type,normalize REG/POST/PRE,schedule fields as published; scores/starter/observed weather only after game,yes,
games,week,nflverse schedules,week,integer/string playoff round,schedule fields as published; scores/starter/observed weather only after game,yes,
games,gameday,nflverse schedules,gameday,date,schedule fields as published; scores/starter/observed weather only after game,yes,
games,kickoff_utc,nflverse schedules,gameday + gametime,localize gametime as America/New_York then convert UTC,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_team_id,nflverse schedules,home_team,canonical franchise alias,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_team_id,nflverse schedules,away_team,canonical franchise alias,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_score,nflverse schedules,home_score,numeric,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_score,nflverse schedules,away_score,numeric,schedule fields as published; scores/starter/observed weather only after game,yes,
games,neutral_site,nflverse schedules,location,Neutral => true,schedule fields as published; scores/starter/observed weather only after game,yes,
games,overtime,nflverse schedules,overtime,boolean,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_rest_days,nflverse schedules,home_rest,numeric,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_rest_days,nflverse schedules,away_rest,numeric,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_moneyline_reference,nflverse schedules,home_moneyline,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_moneyline_reference,nflverse schedules,away_moneyline,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_spread_reference,nflverse schedules,spread_line,multiply by -1; nflverse positive means home favored,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_spread_price_reference,nflverse schedules,home_spread_odds,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_spread_price_reference,nflverse schedules,away_spread_odds,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,total_line_reference,nflverse schedules,total_line,numeric,schedule fields as published; scores/starter/observed weather only after game,yes,
games,over_price_reference,nflverse schedules,over_odds,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,under_price_reference,nflverse schedules,under_odds,American odds,schedule fields as published; scores/starter/observed weather only after game,yes,
games,division_game,nflverse schedules,div_game,boolean,schedule fields as published; scores/starter/observed weather only after game,yes,
games,roof,nflverse schedules,roof,normalize outdoor/closed/open/dome,schedule fields as published; scores/starter/observed weather only after game,yes,
games,surface,nflverse schedules,surface,normalize string,schedule fields as published; scores/starter/observed weather only after game,yes,
games,observed_temperature_f,nflverse schedules,temp,numeric; postgame observation,schedule fields as published; scores/starter/observed weather only after game,yes,
games,observed_wind_mph,nflverse schedules,wind,numeric; postgame observation,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_qb_id_actual,nflverse schedules,home_qb_id,preserve gsis/player ID,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_qb_id_actual,nflverse schedules,away_qb_id,preserve gsis/player ID,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_qb_name_actual,nflverse schedules,home_qb_name,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_qb_name_actual,nflverse schedules,away_qb_name,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,home_coach_name,nflverse schedules,home_coach,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,away_coach_name,nflverse schedules,away_coach,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,referee_name,nflverse schedules,referee,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,stadium_id,nflverse schedules,stadium_id,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,stadium_name,nflverse schedules,stadium,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
odds_snapshots,provider_event_id,The Odds API,id,preserve,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,sport_key,The Odds API,sport_key,preserve,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,home_team_provider,The Odds API,home_team,preserve and map to internal ID,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,away_team_provider,The Odds API,away_team,preserve and map to internal ID,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,kickoff_utc,The Odds API,commence_time,UTC timestamp,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,bookmaker_id,The Odds API,bookmakers[].key,preserve,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,bookmaker_name,The Odds API,bookmakers[].title,preserve,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,bookmaker_last_update_utc,The Odds API,bookmakers[].last_update,UTC timestamp,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,market_type,The Odds API,bookmakers[].markets[].key,h2h=>moneyline; spreads=>spread; totals=>total,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,market_last_update_utc,The Odds API,bookmakers[].markets[].last_update,UTC timestamp,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,outcome_name_provider,The Odds API,bookmakers[].markets[].outcomes[].name,preserve,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,outcome_side,The Odds API,outcomes[].name + event teams,home/away/over/under/draw,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,line_value,The Odds API,outcomes[].point,numeric; null for h2h,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,price_american,The Odds API,outcomes[].price,retain requested American format,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,snapshot_utc,The Odds API,historical response timestamp / requested date,UTC timestamp,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,source_retrieved_at_utc,The Odds API,local ingestion clock,UTC timestamp,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,raw_implied_probability,The Odds API,price_american,American odds conversion,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,devig_probability,The Odds API,all paired outcomes,normalize within book/event/market/line/snapshot,quote must have snapshot/update time at or before prediction as_of_utc,yes,
odds_snapshots,minutes_to_kickoff,The Odds API,kickoff_utc - snapshot_utc,numeric minutes,quote must have snapshot/update time at or before prediction as_of_utc,yes,
plays,game_id,nflverse play-by-play,game_id,preserve,after upstream play/game publication,yes,
plays,play_id,nflverse play-by-play,play_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,posteam,nflverse play-by-play,posteam,preserve/typed canonical,after upstream play/game publication,yes,
plays,defteam,nflverse play-by-play,defteam,preserve/typed canonical,after upstream play/game publication,yes,
plays,home_team,nflverse play-by-play,home_team,preserve/typed canonical,after upstream play/game publication,yes,
plays,away_team,nflverse play-by-play,away_team,preserve/typed canonical,after upstream play/game publication,yes,
plays,qtr,nflverse play-by-play,qtr,preserve/typed canonical,after upstream play/game publication,yes,
plays,game_seconds_remaining,nflverse play-by-play,game_seconds_remaining,preserve/typed canonical,after upstream play/game publication,yes,
plays,half_seconds_remaining,nflverse play-by-play,half_seconds_remaining,preserve/typed canonical,after upstream play/game publication,yes,
plays,drive,nflverse play-by-play,drive,preserve/typed canonical,after upstream play/game publication,yes,
plays,series,nflverse play-by-play,series,preserve/typed canonical,after upstream play/game publication,yes,
plays,down,nflverse play-by-play,down,preserve/typed canonical,after upstream play/game publication,yes,
plays,ydstogo,nflverse play-by-play,ydstogo,preserve/typed canonical,after upstream play/game publication,yes,
plays,yardline_100,nflverse play-by-play,yardline_100,preserve/typed canonical,after upstream play/game publication,yes,
plays,goal_to_go,nflverse play-by-play,goal_to_go,preserve/typed canonical,after upstream play/game publication,yes,
plays,score_differential,nflverse play-by-play,score_differential,preserve/typed canonical,after upstream play/game publication,yes,
plays,play_type,nflverse play-by-play,play_type,preserve/typed canonical,after upstream play/game publication,yes,
plays,pass_attempt,nflverse play-by-play,pass_attempt,preserve/typed canonical,after upstream play/game publication,yes,
plays,rush_attempt,nflverse play-by-play,rush_attempt,preserve/typed canonical,after upstream play/game publication,yes,
plays,qb_dropback,nflverse play-by-play,qb_dropback,preserve/typed canonical,after upstream play/game publication,yes,
plays,sack,nflverse play-by-play,sack,preserve/typed canonical,after upstream play/game publication,yes,
plays,scramble,nflverse play-by-play,scramble,preserve/typed canonical,after upstream play/game publication,yes,
plays,complete_pass,nflverse play-by-play,complete_pass,preserve/typed canonical,after upstream play/game publication,yes,
plays,interception,nflverse play-by-play,interception,preserve/typed canonical,after upstream play/game publication,yes,
plays,fumble,nflverse play-by-play,fumble,preserve/typed canonical,after upstream play/game publication,yes,
plays,fumble_lost,nflverse play-by-play,fumble_lost,preserve/typed canonical,after upstream play/game publication,yes,
plays,touchdown,nflverse play-by-play,touchdown,preserve/typed canonical,after upstream play/game publication,yes,
plays,first_down,nflverse play-by-play,first_down,preserve/typed canonical,after upstream play/game publication,yes,
plays,third_down_converted,nflverse play-by-play,third_down_converted,preserve/typed canonical,after upstream play/game publication,yes,
plays,fourth_down_converted,nflverse play-by-play,fourth_down_converted,preserve/typed canonical,after upstream play/game publication,yes,
plays,air_yards,nflverse play-by-play,air_yards,preserve/typed canonical,after upstream play/game publication,yes,
plays,yards_after_catch,nflverse play-by-play,yards_after_catch,preserve/typed canonical,after upstream play/game publication,yes,
plays,passing_yards,nflverse play-by-play,passing_yards,preserve/typed canonical,after upstream play/game publication,yes,
plays,rushing_yards,nflverse play-by-play,rushing_yards,preserve/typed canonical,after upstream play/game publication,yes,
plays,return_yards,nflverse play-by-play,return_yards,preserve/typed canonical,after upstream play/game publication,yes,
plays,penalty,nflverse play-by-play,penalty,preserve/typed canonical,after upstream play/game publication,yes,
plays,penalty_yards,nflverse play-by-play,penalty_yards,preserve/typed canonical,after upstream play/game publication,yes,
plays,epa,nflverse play-by-play,epa,preserve/typed canonical,after upstream play/game publication,yes,
plays,wpa,nflverse play-by-play,wpa,preserve/typed canonical,after upstream play/game publication,yes,
plays,success,nflverse play-by-play,success,preserve/typed canonical,after upstream play/game publication,yes,
plays,cp,nflverse play-by-play,cp,preserve/typed canonical,after upstream play/game publication,yes,
plays,cpoe,nflverse play-by-play,cpoe,preserve/typed canonical,after upstream play/game publication,yes,
plays,passer_player_id,nflverse play-by-play,passer_player_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,rusher_player_id,nflverse play-by-play,rusher_player_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,receiver_player_id,nflverse play-by-play,receiver_player_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,kicker_player_id,nflverse play-by-play,kicker_player_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,punter_player_id,nflverse play-by-play,punter_player_id,preserve/typed canonical,after upstream play/game publication,yes,
plays,special_teams_play,nflverse play-by-play,special_teams_play,preserve/typed canonical,after upstream play/game publication,yes,
plays,no_huddle,nflverse play-by-play,no_huddle,preserve/typed canonical,after upstream play/game publication,yes,
plays,shotgun,nflverse play-by-play,shotgun,preserve/typed canonical,after upstream play/game publication,yes,
player_weekly_stats,player_id,nflverse player stats,player_id,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,season,nflverse player stats,season,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,week,nflverse player stats,week,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,team_id,nflverse player stats,recent_team,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,position_group,nflverse player stats,position_group,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,attempts,nflverse player stats,attempts,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,completions,nflverse player stats,completions,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,passing_yards,nflverse player stats,passing_yards,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,passing_tds,nflverse player stats,passing_tds,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,interceptions,nflverse player stats,interceptions,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,sacks_suffered,nflverse player stats,sacks_suffered,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,carries,nflverse player stats,carries,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,rushing_yards,nflverse player stats,rushing_yards,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,rushing_tds,nflverse player stats,rushing_tds,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,targets,nflverse player stats,targets,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,receptions,nflverse player stats,receptions,normalize IDs/types,published snapshot only; join as-of,yes,
player_weekly_stats,receiving_yards,nflverse player stats,receiving_yards,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,season,nflverse weekly rosters,season,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,week,nflverse weekly rosters,week,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,team_id,nflverse weekly rosters,team,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,player_id,nflverse weekly rosters,gsis_id,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,position,nflverse weekly rosters,position,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,roster_status,nflverse weekly rosters,status,normalize IDs/types,published snapshot only; join as-of,yes,
weekly_rosters,depth_chart_position,nflverse weekly rosters,depth_chart_position,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,season,nflverse snap counts,season,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,week,nflverse snap counts,week,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,game_id,nflverse snap counts,game_id,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,team_id,nflverse snap counts,team,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,player_id,nflverse snap counts,pfr_player_id,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,offensive_snaps,nflverse snap counts,offense_snaps,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,offensive_snap_percentage,nflverse snap counts,offense_pct,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,defensive_snaps,nflverse snap counts,defense_snaps,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,defensive_snap_percentage,nflverse snap counts,defense_pct,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,special_teams_snaps,nflverse snap counts,st_snaps,normalize IDs/types,published snapshot only; join as-of,yes,
snap_counts,special_teams_snap_percentage,nflverse snap counts,st_pct,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,season,nflverse depth charts,season,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,week,nflverse depth charts,week,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,team_id,nflverse depth charts,club_code,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,player_id,nflverse depth charts,gsis_id,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,position,nflverse depth charts,position,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,depth_chart_order,nflverse depth charts,depth_team,normalize IDs/types,published snapshot only; join as-of,yes,
depth_charts,snapshot_utc,nflverse depth charts,dt,normalize IDs/types,published snapshot only; join as-of,yes,
injuries,season,nflverse injuries 2020-2024,season,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,week,nflverse injuries 2020-2024,week,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,team_id,nflverse injuries 2020-2024,team,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,player_id,nflverse injuries 2020-2024,gsis_id,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,player_name,nflverse injuries 2020-2024,full_name,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,position,nflverse injuries 2020-2024,position,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,injury_primary,nflverse injuries 2020-2024,report_primary_injury,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,practice_status_raw,nflverse injuries 2020-2024,practice_status,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,game_status_raw,nflverse injuries 2020-2024,report_status,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,status_date_utc,nflverse injuries 2020-2024,date_modified/report date,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,season,Sportradar 2025-2026,season.year,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,season_type,Sportradar 2025-2026,season.type,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,week,Sportradar 2025-2026,week.sequence,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,team_id,Sportradar 2025-2026,teams[].alias,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,provider_team_id,Sportradar 2025-2026,teams[].id,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,player_id,Sportradar 2025-2026,teams[].players[].id,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,player_name,Sportradar 2025-2026,players[].name,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,position,Sportradar 2025-2026,players[].position,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,injury_primary,Sportradar 2025-2026,players[].injury.primary,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,practice_status_raw,Sportradar 2025-2026,players[].injury.practice.status,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,game_status_raw,Sportradar 2025-2026,players[].injury.status / players[].status,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,status_date_utc,Sportradar 2025-2026,players[].injury.status_date,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,estimated_return_date,Sportradar 2025-2026,players[].injury.estimated_return_date,normalize designations/IDs,status timestamp <= prediction as_of_utc,yes,
injuries,season,Official NFL archive export 2025-2026,CLI season argument,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,week,Official NFL archive export 2025-2026,CLI week argument,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,team_id,Official NFL archive export 2025-2026,team or team_id export column,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,player_name,Official NFL archive export 2025-2026,Player,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,position,Official NFL archive export 2025-2026,Position,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,injury_primary,Official NFL archive export 2025-2026,Injury,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,practice_status_raw,Official NFL archive export 2025-2026,Practice Status,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,game_status_raw,Official NFL archive export 2025-2026,Game Status,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
injuries,status_date_utc,Official NFL archive export 2025-2026,report timestamp supplied at export,normalize column names/designations,export timestamp <= prediction as_of_utc,yes,
