model_number,column,model_name,threshold_or_adjustment,actual_logic,source_formula_normalized,cached_example_value
14,X,Model 14,0.95,Use hard Yahoo pick above 0.95 confidence; otherwise FiveThirtyEight.,"if($D38=0.5,0.5,if($D38>$E$18,1,if($D38>0.5,$E38,1-X39)))",0.4
15,Y,Model 15,0.96,Use hard Yahoo pick above 0.96 confidence; otherwise FiveThirtyEight.,"if($D38=0.5,0.5,if($D38>$E$19,1,if($D38>0.5,$E38,1-Y39)))",0.4
16,Z,Model 16,0.32,"If absolute Yahoo–FiveThirtyEight difference exceeds 0.32, use Yahoo; otherwise FiveThirtyEight.","if(abs(H38)>$E$20,$D38,$E38)",0.81
17,AA,Model 17,0.32,"If absolute Yahoo–FiveThirtyEight difference exceeds 0.32, use hard Yahoo pick; otherwise FiveThirtyEight.","if(abs($H38)>$E$20,if($D38>0.5,1,1-AA39),$E38)",1.0
18,AB,Model 18,0.32,"If absolute Yahoo–FiveThirtyEight difference exceeds 0.32, use Model 1; otherwise FiveThirtyEight.","round(if(abs($H38)>$E$20,if($D38>0.5,$K38,1-AB39),$E38),2)",0.61
19,AC,Model 19,,Use de-vigged Vegas probability.,F38,0.59
20,AD,Model 20,,"Average Yahoo, FiveThirtyEight, and Vegas.","round(if(average($D38:$F38)=0.5,0.5,if(average($D38:$F38)>0.5,average($D38:$F38),1-AD39)),2)",0.6
21,AE,Model 21,,Average Yahoo and Vegas.,"round(if(average($D38,$F38)=0.5,0.5,if(average($D38,$F38)>0.5,average($D38,$F38),1-AE39)),2)",0.7
22,AF,Model 22,,Average FiveThirtyEight and Vegas.,"round(if(average($E38,$F38)=0.5,0.5,if(average($E38,$F38)>0.5,average($E38,$F38),1-AF39)),2)",0.49
23,AG,Model 23,0.83,"If three-way average favorite probability exceeds 0.83, use 100%; otherwise the three-way average.","if($AD38=0.5,0.5,if($AD38>$E$26,1,if($AD38>0.5,$AD38,1-AG39)))",0.6
24,AH,Model 24,0.77,"If Vegas favorite probability exceeds 0.77, use 100%; otherwise Vegas.","if($F38=0.5,0.5,if($F38>$E$27,1,if($F38>0.5,$F38,1-AH39)))",0.59
25,AI,Model 25,0.1,"If absolute FiveThirtyEight–Vegas difference exceeds 0.10, use Vegas; otherwise the three-way average.","if(abs(I38)>$E$28,$F38,$AD38)",0.59
26,AJ,Model 26,0.27,"Actual formula: if absolute FiveThirtyEight–Vegas difference exceeds 0.27, use a hard Vegas pick; otherwise use Vegas. Workbook description incorrectly says the fallback is the three-way average.","if(abs(I38)>$E$29,if($F38=0.5,0.5,if($F38>0.5,1,0)),$F38)",0.59
27,AK,Model 27,0.13,"If absolute FiveThirtyEight–Vegas difference exceeds 0.13, use the FiveThirtyEight/Vegas average; otherwise Model 25.","if(abs($I38)>$E$30,$AF38,$AI38)",0.49
28,AL,Model 28,0.11,"If absolute FiveThirtyEight–Vegas difference exceeds 0.11, use the FiveThirtyEight/Vegas average; otherwise the three-way average.","if(abs($I38)>$E$31,$AF38,$AD38)",0.49
29,AM,Model 29,0.26,"If absolute FiveThirtyEight–Vegas difference exceeds 0.26, use the three-way average; otherwise the FiveThirtyEight/Vegas average.","if(abs($I38)>$E$32,$AD38,$AF38)",0.49
30,AN,Model 30,,Average Models 27 and 28.,"if(round(AVERAGE($AK38,$AL38),2)=0.5,0.5,if(round(AVERAGE($AK38,$AL38),2)>0.5,round(AVERAGE($AK38,$AL38),2),1-AN39))",0.49
31,AO,Model 31,0.2,"If absolute FiveThirtyEight–Vegas difference exceeds 0.20, use Vegas; otherwise the FiveThirtyEight/Vegas average.","if(abs($I38)>$E$34,$F38,$AF38)",0.49
32,AP,Model 32,-0.03,Move Vegas probability 0.03 toward 50%.,"round(if($F38>0.5,$F38+$E$35,if($F38<0.5,$F38-$E$35,0.5)),2)",0.56
